Step	Chain	Shake	Chi	Rama	Excluded	DSSP	P_AP	Water	Burial	Helix	AMH-Go	Frag_Mem	SSB	VTotal
34000 	101.519370	0.000000	11.465884	-303.937617	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-683.083694	0.000000	0.000000	-874.036057
35000 	128.258421	0.000000	12.396193	-291.997924	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-479.008885	0.000000	0.000000	-630.352196
36000 	128.831729	0.000000	12.023777	-260.016884	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-573.244538	0.000000	0.000000	-692.405916
37000 	196.603956	0.000000	14.110080	-263.269865	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-544.558938	0.000000	0.000000	-597.114767
38000 	186.362557	0.000000	9.179770	-228.474527	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-397.130903	0.000000	0.000000	-430.063103
39000 	227.958522	0.000000	10.771662	-192.611439	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-391.020229	0.000000	0.000000	-344.901484
40000 	272.587135	0.000000	6.734537	-169.530377	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-335.172888	0.000000	0.000000	-225.381593
41000 	219.089651	0.000000	16.997466	-186.358355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-399.698193	0.000000	0.000000	-349.969431
42000 	80.459952	0.000000	9.888039	-211.519072	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-121.171081
43000 	101.296502	0.000000	6.354998	-179.616763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-71.965263
44000 	118.391369	0.000000	10.912180	-175.958447	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	-46.654899
45000 	175.789950	0.000000	7.062214	-170.922857	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	11.929307
46000 	188.032318	0.000000	14.327283	-160.719849	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	41.639753
47000 	218.221945	0.000000	5.747033	-109.625708	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	114.343270
48000 	268.938393	0.000000	6.833746	-87.298586	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	188.473554
49000 	314.524184	0.000000	11.447189	-38.686763	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	287.284610
50000 	371.859406	0.000000	7.565003	-48.083936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	331.340473
