Step   	Chain   	Shake   	Chi     	Rama    	Excluded	DSSP    	P_AP    	Water   	Burial  	Helix   	AMH-Go  	Frag_Mem	Vec_FM  	Membrane	SSB     	Electro.	VTotal
1818000 	80.157405	0.000000	24.782527	-246.891154	0.000000	-0.000000	-0.007212	-5.433914	-56.914510	-10.394318	0.000000	-51.498763	0.000000	0.000000	0.000000	0.000000	-266.199938
1820000 	78.512286	0.000000	17.323188	-251.481302	0.000000	0.000000	-0.000185	-3.758524	-55.138582	-15.023542	0.000000	-70.990872	0.000000	0.000000	0.000000	0.000000	-300.557534
1822000 	90.778966	0.000000	27.168787	-244.145206	0.000000	0.000000	-0.244666	-5.263267	-54.932505	-13.091366	0.000000	-43.322202	0.000000	0.000000	0.000000	0.000000	-243.051458
1824000 	72.711956	0.000000	28.575508	-242.436179	0.000000	0.000000	-0.000091	-4.218218	-55.084841	-15.998771	0.000000	-43.797435	0.000000	0.000000	0.000000	0.000000	-260.248070
1826000 	77.236553	0.000000	29.017062	-240.291330	0.000000	-0.000000	-0.000000	-1.967663	-54.958018	-11.005786	0.000000	-47.439686	0.000000	0.000000	0.000000	0.000000	-249.408868
1828000 	83.199295	0.000000	25.347215	-243.922535	0.000000	0.000000	-0.001344	-4.662350	-54.621763	-9.244155	0.000000	-54.610714	0.000000	0.000000	0.000000	0.000000	-258.516352
1830000 	85.322007	0.000000	18.909424	-221.637324	0.000000	0.000000	-0.000156	-6.691983	-54.176455	-13.938876	0.000000	-55.305058	0.000000	0.000000	0.000000	0.000000	-247.518421
1832000 	82.262750	0.000000	21.048229	-223.619854	0.000000	0.000000	-1.479988	-5.306293	-54.525610	-14.395339	0.000000	-49.154619	0.000000	0.000000	0.000000	0.000000	-245.170724
1834000 	71.975068	0.000000	21.257137	-222.923671	0.000000	0.000000	-0.000100	-3.619204	-54.254015	-15.739654	0.000000	-43.693084	0.000000	0.000000	0.000000	0.000000	-246.997522
1836000 	77.633027	0.000000	18.327761	-238.183715	0.000000	0.000000	-1.766176	-4.336061	-54.280531	-14.202501	0.000000	-59.622246	0.000000	0.000000	0.000000	0.000000	-276.430442
1838000 	70.826864	0.000000	20.899821	-221.510393	0.000000	0.000000	-2.795057	-5.610849	-54.941648	-17.806086	0.000000	-46.518242	0.000000	0.000000	0.000000	0.000000	-257.455591
1840000 	83.872260	0.000000	24.791562	-224.871297	0.000000	0.000000	-0.999936	-8.160233	-55.662462	-16.412412	0.000000	-59.959007	0.000000	0.000000	0.000000	0.000000	-257.401525
1842000 	74.196134	0.000000	23.465411	-243.425745	0.000000	0.000000	-0.327299	-4.071729	-53.880032	-15.446019	0.000000	-40.786617	0.000000	0.000000	0.000000	0.000000	-260.275894
1844000 	73.595751	0.000000	11.692996	-227.364157	0.000000	-0.000000	-0.000383	-6.693733	-55.783320	-12.011390	0.000000	-62.592466	0.000000	0.000000	0.000000	0.000000	-279.156702
1846000 	78.738119	0.000000	24.651733	-229.504239	0.000000	-0.000000	-2.814250	-9.115914	-55.388935	-11.094814	0.000000	-43.705674	0.000000	0.000000	0.000000	0.000000	-248.233973
1848000 	68.105904	0.000000	24.245402	-245.894180	0.000000	0.000000	-0.992195	-7.429337	-55.045635	-14.738296	0.000000	-54.257028	0.000000	0.000000	0.000000	0.000000	-286.005364
1850000 	88.304873	0.000000	23.034748	-238.491850	0.000000	0.000000	-0.020666	-7.472612	-54.242512	-18.904818	0.000000	-60.394671	0.000000	0.000000	0.000000	0.000000	-268.187508
1852000 	80.034962	0.000000	22.075158	-226.753731	0.000000	-0.000000	-0.500001	-7.187251	-54.517604	-11.642694	0.000000	-45.149884	0.000000	0.000000	0.000000	0.000000	-243.641045
1854000 	78.834590	0.000000	21.473227	-241.469106	0.000000	-0.000000	-0.498284	-7.619193	-54.743669	-14.938126	0.000000	-58.997339	0.000000	0.000000	0.000000	0.000000	-277.957900
1856000 	71.015952	0.000000	17.774019	-245.453701	0.000000	-0.000000	-0.000004	-4.536413	-54.744677	-16.723804	0.000000	-59.874317	0.000000	0.000000	0.000000	0.000000	-292.542944
1858000 	85.606465	0.000000	23.506833	-238.042114	0.000000	0.000000	-1.487183	-6.073564	-55.045592	-17.850318	0.000000	-46.560356	0.000000	0.000000	0.000000	0.000000	-255.945829
1860000 	79.045741	0.000000	32.157522	-225.236857	0.000000	-0.000000	-0.000008	-5.122293	-54.556922	-12.518386	0.000000	-39.998237	0.000000	0.000000	0.000000	0.000000	-226.229441
1862000 	70.463926	0.000000	27.055527	-232.749169	0.000000	0.000000	-1.479265	-8.010723	-54.594025	-11.347646	0.000000	-46.529482	0.000000	0.000000	0.000000	0.000000	-257.190857
1864000 	79.734968	0.000000	20.599343	-198.878021	0.000000	0.000000	-0.002787	-5.527131	-54.306171	-6.900017	0.000000	-34.829708	0.000000	0.000000	0.000000	0.000000	-200.109523
1866000 	62.578994	0.000000	19.211533	-223.723570	0.000000	0.000000	-0.699735	-5.631753	-53.948593	-9.034480	0.000000	-36.042213	0.000000	0.000000	0.000000	0.000000	-247.289817
1868000 	78.634389	0.000000	21.937500	-226.399409	0.000000	0.000000	-0.776710	-4.675123	-54.883565	-8.679303	0.000000	-34.580177	0.000000	0.000000	0.000000	0.000000	-229.422398
1870000 	68.816880	0.000000	27.065444	-230.407615	0.000000	0.000000	-0.167515	-3.719529	-54.698801	-8.217250	0.000000	-42.214933	0.000000	0.000000	0.000000	0.000000	-243.543320
1872000 	82.180772	0.000000	15.417653	-222.800180	0.000000	0.000000	-0.000000	-2.499215	-54.295921	-5.791687	0.000000	-47.875685	0.000000	0.000000	0.000000	0.000000	-235.664264
1874000 	90.792280	0.000000	21.683250	-200.388037	0.000000	0.000000	-0.000000	-0.755785	-55.242717	-9.974037	0.000000	-39.791608	0.000000	0.000000	0.000000	0.000000	-193.676656
1876000 	63.334910	0.000000	30.933673	-220.751945	0.000000	0.000000	-1.501561	-4.214249	-53.875745	-9.287537	0.000000	-49.139306	0.000000	0.000000	0.000000	0.000000	-244.501761
1878000 	80.247347	0.000000	25.578565	-210.362385	0.000000	0.000000	-0.500001	-2.649661	-54.391213	-12.389928	0.000000	-40.618104	0.000000	0.000000	0.000000	0.000000	-215.085378
1880000 	93.059375	0.000000	20.030058	-232.145119	0.000000	-0.000000	-0.223041	-4.692529	-54.452911	-13.507084	0.000000	-41.501038	0.000000	0.000000	0.000000	0.000000	-233.432289
1882000 	86.055652	0.000000	22.239507	-223.965483	0.000000	0.000000	-0.500000	-1.971161	-54.928662	-11.043565	0.000000	-39.831774	0.000000	0.000000	0.000000	0.000000	-223.945486
1884000 	85.360763	0.000000	27.030361	-240.539737	0.000000	0.000000	-0.415225	-4.314467	-54.318315	-11.954727	0.000000	-52.171826	0.000000	0.000000	0.000000	0.000000	-251.323175
1886000 	80.757214	0.000000	21.115598	-230.475441	0.000000	-0.000000	-0.499337	-3.728556	-55.439399	-14.997805	0.000000	-50.011144	0.000000	0.000000	0.000000	0.000000	-253.278870
1888000 	82.872871	0.000000	25.435698	-211.961722	0.000000	-0.000000	-1.223537	-4.274829	-53.642096	-7.839778	0.000000	-42.878504	0.000000	0.000000	0.000000	0.000000	-213.511897
1890000 	80.743752	0.000000	27.839548	-241.128254	0.000000	-0.000000	-0.500140	-5.082038	-55.803327	-15.674167	0.000000	-50.259440	0.000000	0.000000	0.000000	0.000000	-259.864066
1892000 	73.654922	0.000000	29.071068	-228.829308	0.000000	-0.000000	-1.829149	-3.895923	-54.459104	-12.736741	0.000000	-51.120586	0.000000	0.000000	0.000000	0.000000	-250.144822
1894000 	80.767719	0.000000	19.938515	-245.655767	0.000000	0.000000	-0.096494	-5.741427	-55.325390	-16.942650	0.000000	-56.099883	0.000000	0.000000	0.000000	0.000000	-279.155377
1896000 	86.841303	0.000000	24.078758	-229.666339	0.000000	0.000000	-2.191822	-5.609168	-54.447905	-22.666591	0.000000	-50.346909	0.000000	0.000000	0.000000	0.000000	-254.008673
1898000 	66.193268	0.000000	19.278711	-225.540461	0.000000	-0.000000	-0.183653	-7.041684	-55.233686	-16.294370	0.000000	-44.126392	0.000000	0.000000	0.000000	0.000000	-262.948267
